Marca,Modelo,Version,Precio,Combustible,Año,Kms,Potencia,Puertas,Cambio,Color
"Seat Ibiza, ","Seat Ibiza, ",1.2 Reference,,Gasolina,06.2015,104.706 km,70 CV / 51 kW,3,Cambio tipo manual,Rojo
"Peugeot 208, ","Peugeot 208, ",1.2 VTi Active,7.699 €,Gasolina,06.2013,105.343 km,82 CV / 60 kW,5,Cambio tipo manual,Beige
"MINI Cabrio, ","MINI Cabrio, ",Cooper D,16.599 €,Diésel,05.2016,105.498 km,115 CV / 85 kW,2,Cambio tipo manual,Verde
"Peugeot 508, ","Peugeot 508, ",2.0 HDi Allure,9.799 €,Diésel,02.2013,105.696 km,140 CV / 103 kW,4,Cambio tipo manual,Negro
"Toyota Yaris, ","Toyota Yaris, ",1.5 Active,12.399 €,Gasolina,01.2019,105.976 km,110 CV / 82 kW,3,Cambio tipo manual,Blanco
"Toyota Auris Touring Sports, ","Toyota Auris Touring Sports, ",1.2 Active,12.799 €,Gasolina,04.2017,106.368 km,115 CV / 85 kW,5,Cambio tipo manual,Blanco
"Opel Insignia, ","Opel Insignia, ",1.4 Turbo Selective,10.299 €,Gasolina,10.2014,106.472 km,140 CV / 103 kW,5,Cambio tipo manual,Verde
"Renault Clio, ","Renault Clio, ",1.5 dCi Energy Limited,10.799 €,Diésel,11.2016,106.541 km,90 CV / 66 kW,5,Cambio tipo manual,Blanco
"Peugeot 2008, ","Peugeot 2008, ",1.2 PureTech Allure,13.399 €,Gasolina,01.2017,106.643 km,110 CV / 81 kW,5,Cambio tipo manual,Gris
"Seat León, ","Seat León, ",1.4 TSI Style Copa,8.299 €,Gasolina,07.2011,106.731 km,125 CV / 92 kW,5,Cambio tipo manual,Gris
"Peugeot 3008, ","Peugeot 3008, ",2.0 Blue-HDi GT Line,22.099 €,Diésel,03.2018,106.910 km,150 CV / 110 kW,5,Cambio tipo manual,Rojo
"Hyundai Tucson, ","Hyundai Tucson, ",1.6 GDI BlueDrive Essence 2WD,16.899 €,Gasolina,10.2019,106.944 km,132 CV / 97 kW,5,Cambio tipo manual,Azul
"Volkswagen Golf VII, ","Volkswagen Golf VII, ",1.4 GTE BlueMotion 245cv ,,Híbrido,12.2019,106.975 km,150 CV / 110 kW,5,Cambio tipo automático,Blanco
"Peugeot 308, ","Peugeot 308, ",1.6 Blue-HDi Style,10.099 €,Diésel,05.2015,107.151 km,100 CV / 73 kW,5,Cambio tipo manual,Gris
"Seat León, ","Seat León, ",2.0 TDI FR Edition,17.299 €,Diésel,01.2019,107.645 km,150 CV / 110 kW,5,Cambio tipo automático,Naranja
"Nissan Qashqai, ","Nissan Qashqai, ",1.3 DIG-T Acenta,17.199 €,Gasolina,11.2018,107.677 km,140 CV / 103 kW,5,Cambio tipo manual,Blanco
"Citroen C4 Cactus, ","Citroen C4 Cactus, ",1.2 PureTech Feel,10.499 €,Gasolina,08.2017,107.704 km,82 CV / 60 kW,5,Cambio tipo manual,Blanco
"Audi A1, ","Audi A1, ",1.6 TDI Stronic  Adrenalin Sportback,,Diésel,09.2016,107.713 km,116 CV / 85 kW,5,Cambio tipo automático,Blanco
"Citroen C4 Cactus, ","Citroen C4 Cactus, ", e-HDi Shine,,Diésel,11.2014,107.897 km,92 CV / 68 kW,5,Semi-automático,Rojo
"Mercedes-Benz Clase CLA, ","Mercedes-Benz Clase CLA, ",CLA 200 Shooting Brake,,Diésel,03.2015,108.277 km,135 CV / 100 kW,5,Cambio tipo automático,Plata
"Volkswagen Jetta, ","Volkswagen Jetta, ",1.6 TDI Sport,9.899 €,Diésel,11.2011,108.427 km,105 CV / 77 kW,4,Cambio tipo automático,Gris
