Marca,Modelo,Version,Precio,Combustible,Año,Kms,Potencia,Puertas,Cambio,Color,Distribuidor
CITROEN,C1,CITROEN C1 PureTech 60KW 82CV Feel 5p.,6200,Gasolina,2017-01-01,50071.0,82,5,Manual,Blanco,Autos Raymara
FORD,Transit Connect,FORD Transit Connect Van 1.5 TDCi 100cv Ambiente 200 L1,7851,Diésel,2016-01-01,103000.0,100,5,Manual,Blanco,Auto 96
FORD,Transit,FORD Transit 350 96kW L4 Ambiente Propulsion Trasera,22850,Diésel,2017-01-01,107000.0,130,3,Manual,Blanco,"Autofleet España,s.l"
PEUGEOT,3008,PEUGEOT 3008 Style 1.2 PureTech 130 SS 5p.,11490,Gasolina,2016-01-01,78665.0,130,5,Manual,Blanco,Flexicar Rivas
LAND-ROVER,Discovery Sport,LAND-ROVER Discovery Sport 2.0L TD4 110kW 150CV 4x4 Pure 5p.,28500,Diésel,2017-01-01,36238.0,150,5,Automático,Blanco,OK Cars
CITROEN,Berlingo,CITROEN Berlingo Multispace 20 Aniv. PureTech 81KW110CV 5p.,12100,Gasolina,2018-01-01,45000.0,110,5,Manual,Azul,f7cb72400bd7fb19294e1f9692c48cd9
NISSAN,NOTE,NISSAN NOTE 5p. 1.2G 80CV Acenta NissanConnect 5p.,6300,Gasolina,2016-01-01,77000.0,80,5,Manual,Blanco,8a3b0eb4d055a275274895319688e80a
CITROEN,Berlingo,CITROEN Berlingo Multispace 20 Aniv.BlueHDi 74KW 100CV,13900,Diésel,2017-01-01,81000.0,100,5,Manual,Gris,Automóviles Emilio
FIAT,Panda,FIAT Panda 4X4 1.3 70kW 95CV Diesel E6 5p.,9500,Diésel,2017-01-01,101623.0,95,5,Manual,Blanco,CarNext.com
SKODA,Octavia,SKODA Octavia 1.0 TSI 85KW 115CV Ambition 5p.,13990,Gasolina,2019-01-01,7591.0,115,5,Manual,Gris,Ams Conde
CITROEN,C-Elysée,CITROEN CElysee VTi 115cv Exclusive 4p.,4990,Gasolina,2014-01-01,80000.0,115,5,Manual,Gris,JOTACARS
FORD,C-Max,FORD CMax 1.0 EcoBoost 92kW 125CV Trend 5p.,12700,Gasolina,2018-01-01,53000.0,125,5,Manual,Gris,Grupo Montalt Mundicar
CITROEN,C3,CITROEN C3 PureTech 50KW 68CV FEEL 5p.,12490,Gasolina,2019-01-01,13000.0,68,5,Manual,Negro,Sofimotor
BMW,Serie 1,BMW Serie 1 116d 5p.,28900,Diésel,2020-01-01,5000.0,116,5,Automático,Gris,Barcelona Premium
MITSUBISHI,ASX,MITSUBISHI ASX 160 DID Motion 4WD 5p.,15300,Diésel,2016-01-01,67602.0,114,5,Manual,Gris,Mr Automotive
FORD,Focus,FORD Focus 1.0 Ecoboost 92kW Trend 5p.,12790,Gasolina,2018-01-01,29000.0,125,5,Manual,Gris,Madrid Grupo Montalt
FIAT,500L,FIAT 500L 1.6 16v Multijet II 120CV SS Lounge 5p.,12800,Diésel,2016-01-01,60029.0,120,5,Manual,Rojo,Miguel Campos Motor
FORD,S-MAX,FORD SMAX 2.0 TDCi Panther 110kW Titanium Pow 5p.,29300,Diésel,2019-01-01,11936.0,150,5,Automático,Negro,GRUPO L-MOTOR (LUGOMOTOR-LUGOCAR-NIPONCAR)
RENAULT,Captur,RENAULT Captur Zen TCe 66kW 90CV 5p.,14650,Gasolina,2019-01-01,14000.0,90,5,Manual,Blanco,Ald Automotive
SEAT,Ibiza,SEAT Ibiza 1.0 EcoTSI 81kW 110CV FR DSG 5p.,11400,Gasolina,2017-01-01,28000.0,110,5,Automático,Negro,35f2c73eb16c256bfa74d06fcb539525
BMW,Serie 5,BMW Serie 5 520D 4p.,18900,Diésel,2014-01-01,99800.0,190,5,Automático,Azul,Car Buil
PEUGEOT,508 Hybrid,PEUGEOT 508 Hybrid SW GT Line 225 eEAT8 5p.,37000,Híbrido enchufable,2020-01-01,1200.0,225,5,Automático,Blanco,Cover Peugeot
KIA,XCeed,KIA XCeed 1.6 GDi PHEV 104kW 141CV eMotion 5p.,32300,Híbrido enchufable,2021-01-01,2800.0,141,5,Manual,Blanco,Talleres M Gallego
OPEL,Insignia,OPEL Insignia 1.6 CDTI SS 88kW 120CV Business 5p.,9500,Diésel,2016-01-01,101859.0,120,5,Manual,Blanco,KARFER MOTOR
VOLKSWAGEN,Golf,VOLKSWAGEN Golf Variant Advance 1.6 TDI 110CV BMT 5p.,11300,Diésel,2016-01-01,77867.0,110,5,Manual,Azul,CarNext.com
RENAULT,Clio,RENAULT Clio Limited 1.2 16v 55kW 75CV 18 5p.,9500,Gasolina,2018-01-01,43543.0,75,5,Manual,Gris,"SEAT Barbera, Ripollet, Manresa, Rubi, Sant Cugat"
PEUGEOT,Rifter,PEUGEOT Rifter GT Standard BlueHDi 96kW 5p.,26995,Diésel,2021-01-01,1.0,130,5,Manual,Gris,PSA Retail Zaragoza
OPEL,Crossland X,OPEL Crossland X 1.2 60kW 81CV Design Line 120 Anivers. 5p.,19150,Gasolina,2019-01-01,13871.0,81,5,Manual,Gris,Integral Motion
SEAT,León,SEAT Leon 2.0 TDI 110kW DSG7 SS FR Go L 5p.,26400,Diésel,2020-01-01,50.0,150,5,Automático,Negro,Euromovil Talavera
NISSAN,NOTE,NISSAN NOTE 5p. 1.2G 80CV NTEC Pack Comfort 5p.,7900,Gasolina,2015-01-01,54200.0,80,5,Manual,Blanco,c32d65ca9197efa4d8c2df006034a6ef
MERCEDES-BENZ,Clase B,MERCEDES-BENZ Clase B B 180 CDI 5p.,13500,Diésel,2014-01-01,104000.0,109,5,Automático,Blanco,Automoviles Cegarra
DACIA,Duster,DACIA Duster Laureate TCE 125 5p.,8399,Gasolina,2014-01-01,88056.0,125,5,Manual,Blanco,Autohero
RENAULT,Mégane,RENAULT Megane Business Energy dCi 66kW 90CV 5p.,10499,Diésel,2017-01-01,47396.0,90,5,Manual,Blanco,DriveOn
VOLKSWAGEN,CC,VOLKSWAGEN CC 2.0 TDI 140cv RLine BluemotionTech 4p.,17890,Diésel,2015-01-01,90000.0,140,5,Automático,Blanco,Luis Cars
MERCEDES-BENZ,Clase V,MERCEDES-BENZ Clase V 220 d Clase V Largo 4p.,44097,Diésel,2019-01-01,24429.0,163,5,Automático,Negro,Itra-Itarsa Concesionario Oficial
VOLVO,XC60,VOLVO XC60 2.0 D3 Kinetic 5p.,18990,Diésel,2016-01-01,93000.0,150,5,Manual,Blanco,VOLVO ARREGUI
PEUGEOT,5008,PEUGEOT 5008 Style 1.6 BlueHDi 120 FAP 5p.,11900,Diésel,2015-01-01,86686.0,120,5,Manual,Gris,Ocasion Plus
RENAULT,Clio,RENAULT Clio Zen TCe 74 kW 100CV 5p.,16190,Gasolina,2020-01-01,3239.0,100,5,Manual,Marrón,Talleres Clemente
MERCEDES-BENZ,GLC Coupé,MERCEDES-BENZ GLC Coupe GLC 220 d 4MATIC 5p.,49900,Diésel,2019-01-01,200.0,170,5,Automático,Gris,Automocion del Oeste
BMW,X3,BMW X3 XDRIVE20D 5p.,25400,Diésel,2017-01-01,36000.0,190,5,Manual,Gris,Tallers Celesti Farre
OPEL,Corsa,OPEL Corsa 1.2T XHL 74kW 100CV Edition 5p.,13100,Gasolina,2019-01-01,4553.0,100,5,Manual,Blanco,CarNext.com
HYUNDAI,i40,HYUNDAI i40 1.6 GDI GLS 135cv 4p.,8400,Gasolina,2012-01-01,107000.0,135,5,Manual,Gris,Central Seminuevos Km0
BMW,i3,BMW i3  5p.,15500,Eléctrico,2016-01-01,49000.0,170,5,Automático,Blanco,AUTOMOVILES YUMACAR S.L
FORD,Fiesta,FORD Fiesta 1.1 TiVCT 63kW Trend 5p 5p.,9450,Gasolina,2018-01-01,37000.0,85,5,Manual,Gris,CSV Motor
BMW,Serie 2,BMW Serie 2 M2 2p.,48200,Gasolina,2017-01-01,8000.0,370,3,Automático,Azul,177dacb14b34103960ec27ba29bd686b
NISSAN,JUKE,NISSAN JUKE 1.5 dCi NCONNECTA 4X2 5p.,10990,Diésel,2015-01-01,102100.0,110,5,Manual,Gris,Flexicar Valencia
JEEP,Renegade,JEEP Renegade 1.0G 88kW Sport 4x2 5p.,16200,Gasolina,2018-01-01,45168.0,120,5,Manual,Rojo,Ocasion Plus
SKODA,Octavia,SKODA Octavia Combi 1.5 TGI 96kW130CV Ambit. CNG DSG 5p.,17490,Gas natural,2019-01-01,18000.0,130,5,Automático,SinColor,Dimasu Motor
SUZUKI,Swift,SUZUKI Swift 1.4 T SPORT Mild Hybrid 5p.,21200,Gasolina,2020-01-01,10.0,129,5,Manual,Rojo,Agrisa
FIAT,Doblò Cargo,FIAT Doblò Cargo Cargo Base 1.4 TJet Natural Power CNG,4550,Gas natural,2013-01-01,114000.0,120,3,Manual,Blanco,dc599a9972fde3045dab59dbd1ae170b
MERCEDES-BENZ,CLA,MERCEDES-BENZ CLA CLA 200 D DCT 4p.,44600,Diésel,2021-01-01,0.0,150,5,Manual,Azul,Concesur
BMW,Serie 5,BMW Serie 5 520d Efficient Dynamics 4p.,37200,Diésel,2019-01-01,35760.0,190,5,Automático,Gris,Caetano Cuzco
CITROEN,C4,CITROEN C4 C4 BlueHDi 73KW 100CV Tonic 5p.,12900,Diésel,2018-01-01,52700.0,99,5,Manual,Blanco,Interfren Citroen Figueres
SEAT,Arona,SEAT Arona 1.6 TDI 85kW 115CV FR Editio Eco 5p.,19900,Diésel,2019-01-01,17788.0,115,5,Manual,Blanco,AUTOBECO (SEAT)
LAND-ROVER,Discovery Sport,LAND-ROVER Discovery Sport 2.0D I4L.Flw 150 PS AWD RDynamic S 5p.,60190,Diésel,2019-01-01,0.0,150,5,Automático,Blanco,Grupo Montalt Mundicar
MERCEDES-BENZ,GLC Coupé,MERCEDES-BENZ GLC Coupe MercedesAMG GLC 43 4MATIC 5p.,89250,Gasolina,2021-01-01,1.0,390,5,Automático,Azul,Talleres Belsa CB
JEEP,Renegade,JEEP Renegade 1.0G 88kW Longitude 4x2 5p.,20300,Gasolina,2020-01-01,1.0,120,5,Manual,Negro,Ascauto
SSANGYONG,Rodius,SSANGYONG Rodius D22T 178cv Premium 5p.,16490,Diésel,2017-01-01,79900.0,178,5,Manual,Negro,Flexicar Rivas
RENAULT,Koleos,RENAULT Koleos Zen Blue dCi 110kW 150CV XTronic 4x2 5p.,31600,Diésel,2020-01-01,1.0,150,5,Automático,Blanco,"ARIES TOLEDO-TALAVERA,SL"
ABARTH,500,ABARTH 500 1.4 16v TJet 595 107kW 145CV E6D 3p.,16875,Gasolina,2019-01-01,12000.0,145,3,Manual,Rojo,Dream Motors
MERCEDES-BENZ,Clase A,MERCEDES-BENZ Clase A Sedan A 180 d 4p.,32000,Diésel,2020-01-01,20100.0,116,5,Automático,Negro,Santogal
OPEL,Vivaro,OPEL Vivaro 1.6 CDTI SS 92kW L2 2.9t Combi Plus9 4p.,20900,Diésel,2018-01-01,61823.0,125,5,Manual,Marrón,Marcos Motor
CITROEN,C3,CITROEN C3 BlueHDi 75KW 100CV SS CSeries 5p.,17000,Diésel,2020-01-01,5.0,102,5,Manual,Gris,Inauto Citröen
AUDI,Q3,AUDI Q3 S line 35 TDI 110kW 150CV S tronic 5p.,32900,Diésel,2018-01-01,11700.0,150,5,Automático,Gris,Serramóvil
BMW,X1,BMW X1 sDrive18dA Business 5p.,22900,Diésel,2017-01-01,70000.0,150,5,Automático,Blanco,Prieto Automoviles
SMART,fortwo,SMART fortwo 60kW81CV EQ coupe 3p.,14500,Eléctrico,2019-01-01,2000.0,82,3,Automático,Rojo,Automoviles 10 - Especialistas en Smart
VOLKSWAGEN,Scirocco,VOLKSWAGEN Scirocco 2.0 TDI 150CV RLine BMT 3p.,19500,Diésel,2015-01-01,58000.0,150,3,Manual,Blanco,b65918407beb3c1df5bc40000c94bbe1
VOLKSWAGEN,Tiguan,VOLKSWAGEN Tiguan 2.0 TDI 140cv DSG 4x4 Sport BMotion Tech 5p.,17300,Diésel,2014-01-01,91473.0,140,5,Automático,Gris,Ocasion Plus
MERCEDES-BENZ,Clase CLA,MERCEDES-BENZ Clase CLA CLA 200 d Shooting Brake 5p.,30000,Diésel,2018-01-01,14000.0,136,5,Manual,Azul,1f61dc8f2582af5f40c64ad375c86618
OPEL,Astra,OPEL Astra 1.2T SHR 107kW 145CV Elegance ST 5p.,21400,Gasolina,2019-01-01,1.0,145,5,Manual,Azul,Eserma Motor
AUDI,A3,AUDI A3 Sportback 1.6 TDI clean d 110CV Advanced 5p.,17350,Diésel,2016-01-01,57054.0,110,5,Manual,Blanco,TARRACO CENTER
OPEL,Combo,OPEL Combo Tour Excellenc 1.6CDTI 88kW 120CV L1H1,9900,Diésel,2016-01-01,58000.0,120,5,Automático,Blanco,Cipautos
PEUGEOT,2008,PEUGEOT 2008 Allure 1.6 BlueHDi 88KW 120CV SS 5p.,16800,Diésel,2018-01-01,29000.0,120,5,Manual,Blanco,Citroen Celanova
DACIA,Duster,DACIA Duster Laureate dCi 110 5p.,8990,Diésel,2014-01-01,119500.0,109,5,Manual,Blanco,Flexicar Málaga
PEUGEOT,308,PEUGEOT 308 SW Business Line 1.6 BlueHDi 88KW 120CV 5p.,10710,Diésel,2016-01-01,87100.0,120,5,Manual,Gris,H R Motor Zaragoza
PEUGEOT,508 Hybrid,PEUGEOT 508 Hybrid 5P GT Line 225 eEAT8 5p.,35375,Híbrido enchufable,2020-01-01,1.0,225,5,Automático,Gris,Viñaras Toledo
TOYOTA,Yaris,TOYOTA Yaris 1.0 70 Business 5p.,10900,Gasolina,2020-01-01,12750.0,69,5,Manual,Blanco,TOYOTA IGUALADA
KIA,Rio,KIA Rio 1.2 CVVT 84CV Drive 5p.,7500,Gasolina,2015-01-01,100000.0,84,5,Manual,Blanco,1c408e75dacb0715e5bc6990791037a2
VOLKSWAGEN,Polo,VOLKSWAGEN Polo Advance 1.0 TSI 70kW 95CV 5p.,14900,Gasolina,2019-01-01,19420.0,95,5,Manual,Naranja,Autopodium
PEUGEOT,5008,PEUGEOT 5008 1.5 BlueHDi 96kW 130CV SS GT 5p.,33835,Diésel,2021-01-01,1.0,130,5,Manual,Gris,AUTODISA CONCESIONARIO OFICIAL PEUGEOT
OPEL,Astra,OPEL Astra 1.4 Turbo SS 125 CV Dynamic 5p.,9750,Gasolina,2016-01-01,85000.0,125,5,Manual,Blanco,651faef175451b43088ed6fab4aab961
